Username,Tweet
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/hYm0dgjEvV"
Gembelengaan,@allkacruuut @Metro_TV @ganjarpranowo @aniesbaswedan Nyungsep.. https://t.co/q9IyyuP5hX
yonifree,@Mdy_Asmara1701 @aniesbaswedan Ibadah haji tergantung niatnya ... cekrreeek 📸
Kayakuwek,"@franxvvv @ch_chotimah2 @Munir_Timur @ganjarpranowo Lu baca user name gw, gw asli jateng.. gk sebanding jakarta 1 periode dgn semarang 2 periode... gk usah sejateng. Lu org mn jer ?🖕🖕🖕 https://t.co/fmRjaQPTdU"
Mayapada0812,@Melpi72 @choymarkochoy @makhluk_62 @MuhiqR @abylio_sidiq @a_rogansi @PramukhtikoS @Okta_Roza @Dunianyasantai @DE_Sapta5 @_qaireen084 @NohCeukenohhh @AnKiiim_ @aniesbaswedan Berisik lu https://t.co/TaJH0DLC0h
Luthfi_nashrul,@sarah_enjeuLL @aniesbaswedan Efek suka Halu
andri220707,@Yunar69 Kirain Anies Baswedan...Capres Yg Di Dukung Ratusan Juta Penduduk Indonesia 🤭
kanalperspektif,"Hingga saat ini, nama-nama besar seperti Prabowo Subianto, Anies Baswedan dan Ganjar Pranowo mendominasi bursa pilpres 2024 itu."
goentz1,"Hadiri Harlah ke-63 PMII, Prabowo Dorong Mahasiswa untuk Berani dan Kuasai Ilmu Pengetahuan

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/fWbHvFA8gO"
aksaraku_,"Sangat gagah sekali bapak Ganjar Pranowo lengkap dengan kopiah hitam dan baju merah menunjukan semangat yang membara  #K3palkanTanganPersatuan
Untuk Indonesia Raya https://t.co/D3lb6XpXCO"
NanangsbB,@loveniey @marlina_idha @aniesbaswedan Pertanyaanmu ada unsur nyinyir
goentz1,"Prabowo pun sempat menyebut bahwa sejarah besar dibuat oleh anak-anak muda. 

#KitaSemuaBetsatu
Prabowo Subianto"
dedy_gl100,"Anies Baswedan telah melakukan pembohongan publik dan memanfaatkan ibadah suci Haji sebagai sarana politik keagamaan

#TolakAnies
#AniesGagal #AniesBaswedan #AniesAnjlok https://t.co/26dckjTqj8"
Gembelengaan,@allkacruuut @Metro_TV @ganjarpranowo @aniesbaswedan Nyungsep.. https://t.co/q9IyyuP5hX
goentz1,"""Mas Wali saya ingin pamit, ini pemimpin hari ini dan pemimpin masa depan,"" kata Prabowo di hadapan massa PMII yang hadir di Benteng Vastenburg, Solo, Jumat (23/6/2023).

#KitaSemuaBetsatu
Prabowo Subianto https://t.co/U3eIAz8Pr9"
SuYanto62349697,@ch_chotimah2 @Munir_Timur @ganjarpranowo Otakmu iku sg gawe en wong jateng provinsi termiskin kok nyolot
CapresAbadi1998,Diluar Nalar dan tak masuk akal sosok Prabowo Subianto https://t.co/KVJd1Uvpwe
adt_twxtr,"Diantara #GanjarPranowo dan #AniesBaswedan gak ada yang aku pilih. Boleh gak sih Pak #MahfudMD dan #Ahok saja 100% aku pilih.

Karna #prabowosubianto masi 50% hatiku ke beliau.

Pak #Jokowi mohon petunjuk🙏🏻"
franxvvv,@Metro_TV @ganjarpranowo @aniesbaswedan Persaingan ketat ada di ganjar dan prabowo saja👇🙄 https://t.co/YwKnYU1dGH
Jelli_cent,@julius73890 @ganjarpranowo Amin 🙏
haleakbar,@TeddGus @aniesbaswedan @dennyindrayana diteruskan ke kejagung saja coba. biar kita liat gmn huwa ksatria si deni inn ini
hapusingatanku,@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi Nunggu debat capres &amp; tim ekonomi yg dibawa pas kampanye... dr situ baru bisa milih mana yg sesuai kriteria...
MarshaAja7,Diluar nalar dan tak masuk akal sosok Prabowo Subianto. https://t.co/SKFpyO2TzY
UMKMTalaga,"@Kayakuwek @StefanAntonio__ @iyo_azza @jokowi @mohmahfudmd @YaqutCQoumas @ganjarpranowo Laaaah
Suka suka saya dong..
emang gua main di lapak kumu 😂😂😂

Ha ha ha ha pentil curut"
eddy_dang,"@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi saya tidak pilih Ganjar karena ada indikasi e-KTP dan masih absurd jawabannya saat kick Andy shows, kasus Wadas juga mengerikan &amp;dia mengakui dulu tdk care lingkungan (program eceng gondok), baru setelah dr Belanda paham, ekspos dirinya suka nonton film porno😁dia gubernur loh😁"
goentz1,"Prabowo memanggil Gibran untuk berpamitan seraya merangkulnya dan menyebut Gibran adalah pemimpin hari ini dan nantinya akan menjadi pemimpin masa depan.

#KitaSemuaBetsatu
Prabowo Subianto https://t.co/oDTP4R9Syf"
dekade_08,"Kira-kira Pak Prabowo bakal datang gak ya gaes? 🤔

#prabowo #prabowosubianto #mendingprabowo #terusmajubersamaprabowo #dekade08 #kaesang https://t.co/FcfiWcslD0"
dekade_08,"Kepemimpinan Prabowo efektif, karena dia lihai melihat potensi dan kemampuan SDM kita. 

#prabowo #prabowosubianto #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/gETkdpCofb"
AdrianaDaneen,Prabowo Sebut Dunia Kagumi Keberhasilan Pemerintahan Jokowi Kendalikan Inflasi - https://t.co/uQomZoHOHk #prabowo #prabowosubianto https://t.co/G35KyAZz6c
kompasmuda,"Ketua Umum Gerindra Prabowo Subianto kembali menerima sambutan hangat dari sukarelawan pendukung Wali Kota Surakarta Gibran Rakabuming Raka. Namun, Gibran mengaku tak memberi arahan kepada sukarelawannya. #Nusantara #AdadiKompas #Kompas58

https://t.co/OACvdabnMs"
DjumalP,@Lembayung071 @ganjarpranowo Majulah indonesiaku
prabowomenyapa8,"Kepemimpinan Prabowo Efektif, Karena Dia Lihai Melihat Potensi dan Kemampuan SDM Kita #Prabowo #PrabowoSubianto https://t.co/mLYMIDxupv"
AeffSatria,"@Sukardi2017 @aniesbaswedan Aneh nih orang, wong berdo'a ko disalahkan.. Anda aja kalau mau nyalon ketua RT pasti berdo'a pengen kepilih.."
Lembayung071,"Sucseskan Pildun U-17 jangan ada lagi yang memupus mimpi anak bangsa .....kepak sayap Garuda Mendunia
@ganjarpranowo
#GarudaMendunia https://t.co/Klg2qw08Er"
kacaspion__,@NenkMonica Lebih setuju @aniesbaswedan itu GOBLOG Neng 🤣🤣🤣🤣
Jens_alfaqir,"@sarah_enjeuLL @aniesbaswedan Goblok jangan kebangetan!!
Masa mobil sewaan ada lambang KSA nya!! 🙈"
momotaro7106,@Hypatia212 @Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi https://t.co/GlKHgruz3p
budi11122233,"Yang model beginian mau memimpin negara, mana cocok!! Turu mase turu

#PrabowoSubianto #Prabowo #Prabowo2024 #TolakPrabowo https://t.co/gaYzhVvYWi"
wakyal75,@Cozillar_Reborn @Metro_TV @ganjarpranowo @aniesbaswedan Suara yg keluar dgn gerak bibir nya sangat berbeda...😂
Muh_N_UD,"@Arietakduts @Metro_TV @ganjarpranowo @aniesbaswedan Kau lg membahas tukang survey abal² yg kasi hasil sesuai pesanan?
Cebong paok!!!"
sarah_enjeuLL,@Jens_alfaqir @aniesbaswedan huahhahahaha kelihatan ga pernah ke arab lu jing
MARQUEZ__93,"@BMultinovic @ganjarpranowo @ekokuntadhi1 @ch_chotimah2 @Narasi_winda @KakekHalal Loe habis ngetag gue kok diam sih setelah di beri bukti 
https://t.co/57bNCqklP2"
siharprompt8,"@Naz_lira @Dennysiregar7 @ganjarpranowo ""memanfaatkan moment politik utk manatik (menarik) simpati umat"".Ini statemen yg mengerikan, artinya ""ayah Prabowo"" akan memanfaatkan situasi apapn yg menguntungkan dirinya. Gambaran""ayah Prabowo""tidak mempunyai prinsip dan atau pendirian. Dia perduli hanya utk yg menguntungkanya"
haelamarie,"Prabowo Subianto Tiba di Rumah Duka Desmond, Gerindra Kehilangan Salah Satu Kader Terbaiknya - Okezone Video #Prabowo #BangkitBersama https://t.co/8db7nlNNk0"
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/j7iOzq4rOw"
rmbantencom,"Kenang Desmond, Prabowo Subianto: Aktivis Yang Sangat Besar Bekerja Membangun Partai Gerindra @prabowo @Gerindra https://t.co/zEzNQhqdOv"
bostambang_,Pak @ganjarpranowo ini masih di Jateng juga😭 bantu rakyatmu Pak Ganjar
tangselupdates,Menhan Prabowo Subianto Wakili Presiden Jokowi Hadiri Peringatan Hari Lahir ke-63 PMII:   Solo – Menteri Pertahanan Prabowo Subianto mewakili Presiden Joko Widodo menghadiri acara puncak peringatan Hari Lahir ke-63 Pergerakan Mahasiswa… via @kabar_tangsel https://t.co/y4If32GYki
bostambang_,@ganjarpranowo Ini jadi aku KK Kab. Semarang tapi lanjut SMA di ponpes * di beda kabupaten dan ponpesnya itu ijazah SMA nya pake PKBM setara paket C pak
xeinaals,@Ganjaran_app @ganjarpranowo Jurus pemenangan pak Ganjar nihh
nurahmad____cbx,Prabowo Unggah Momen Akrab Menteri Jokowi di Tasyakuran Kaesang-Erina - Detikcom #jokowi #prabowo #prabowosubianto https://t.co/XWwywR4QMX
goentz1,"""Hanya dari kalian, akan muncul tokoh-tokoh yang akan membawa Indonesia menuju kemakmuran,"" imbuhnya.

#KitaSemuaBersatu 
Prabowo Subianto"
Mayapada0812,@Melpi72 @choymarkochoy @makhluk_62 @MuhiqR @abylio_sidiq @a_rogansi @PramukhtikoS @Okta_Roza @Dunianyasantai @DE_Sapta5 @_qaireen084 @NohCeukenohhh @AnKiiim_ @aniesbaswedan Makanya den bokep sebagai public figure harus jaga lisannya bong
yuliaboe1,@Metro_TV @ganjarpranowo @aniesbaswedan Looh bukannya yang kompetisi itu Ganjar dan Prabowo? Anies mah ga masuk hitungan huahahahaha
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/uOC2p31zeI"
J4j4h4nAs3ng2,"@IrmansyahAdhy 2. 
PERPRES NOMOR 60 TAHUN 2020: 

""Pasal 81 berikut pasal lanjutannya 

membuka peluang dibangunnya kembali pulau-pulau artifisial itu, setelah sebelumnya dicabut oleh Anies Baswedan."" (Sabon)

https://t.co/onTyrisNDv

#SelamatkanAniesBubarkanKPK 
#SelamatkanAniesBubarkanKPK"
hapusingatanku,@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi Nunggu debat capres &amp; tim ekonomi yg dibawa pas kampanye... dr situ baru bisa milih mana yg sesuai kriteria...
JhonPandi118646,"@ch_chotimah2 @Munir_Timur @ganjarpranowo Mohon video ini sampaikan kepada orang tersebut., Kali aja setelah mekihat video saya ini urat malu nya dan kebodohan nya bisa berkurang walau sedikit.. https://t.co/cK0XqrmTQL"
ArthaArtha15,"@ch_chotimah2 @Munir_Timur @ganjarpranowo @aniesbaswedan @aniesbaswedan dengan APBD 300T selama 5thn
10.680.000x0,84% = (+) 89.712jiwa
@ganjarpranowo dengan APBD 126T selama 5thn
37.000.000x1,955%=(-)723.350 jiwa

@ganjarpranowo dengan APBD ± 250T selama 10thn:
37.000.000jiwax3,255%=(-)1.221.000jiwa"
variztelrooy,"@Gerindra Harus lah
Masa Bang Dahnil terus
Gimana orang bisa tau pikiran besar seorang Prabowo Subianto"
goentz1,"Ia menyebut hal ini penting karena mereka adalah masa depan dan harapan bangsa Indonesia.

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/iio5BN5Pr6"
kacaspion__,@Metro_TV @ganjarpranowo @aniesbaswedan Yang bingung itu si Surya 🤣🤣🤣
goentz1,"Bonus demografi merupakan kondisi di mana penduduk produktif lebih banyak dibandingkan dengan usia tidak produktif. 

#KitaSemuaBersatu 
Prabowo Subianto"
sarah_enjeuLL,"@PasaribuSaruhum @FerryNLangelo @aniesbaswedan Maklum....
Cu2 pahlawan lho😋🤣"
InvestorID,Prabowo Subianto melayat ke rumah duka Desmond Mahesa https://t.co/lyYJLTIXEl
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/pWAKtXLclc"
ArthaArtha15,"@ch_chotimah2 @Munir_Timur @ganjarpranowo @aniesbaswedan @aniesbaswedan dengan APBD 300T selama 5thn
10.680.000x0,84% = (+) 89.712jiwa
@ganjarpranowo dengan APBD 126T selama 5thn
37.000.000x1,955%=(-)723.350 jiwa

@ganjarpranowo dengan APBD ± 250T selama 10thn:
37.000.000jiwax3,255%=(-)1.221.000jiwa"
MundziriAchmad,"@eddy_widodo_165 @PDI_Perjuangan @ganjarpranowo Jangan kecewakan mereka dg akomodasinya, sekali kecewa dibawa sepanjang jalan"
IndiAmanda_,"@prabowo Sambutan Relawan Jokowi dan Gibran di Solo Hari ini.
Pak Prabowo bahkan sempat berbincang cukup lama disela-sela sambutan hangat tersebut.

#prabowo #prabowosubianto #Jawatengah #jokowi #jokowidodo #gibranrakabuming #dekade08 #mendingprabo..."
GanjarPranowoo,"Kali ini, ada seorang bocah asal Nganjuk yang bikin calon presiden rambut putih itu geregetan didepan ribuan massa.

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/j88PtjQELI"
ayulestarii8140,"@Ganjaran_app @ganjarpranowo Ayo kawan"" ramekan dan segerah dowlod ganjar app"
budi11122233,"Yang model beginian mau memimpin negara, mana cocok!! Turu mase turu

#PrabowoSubianto #Prabowo #Prabowo2024 #TolakPrabowo https://t.co/QjVf2Kth4w"
heri_kriswandi,@marlina_idha @aniesbaswedan 😹😹😹
