Username,Tweet
Aphrodite_AB1,@Rizal21414351 @islah_bahrawi @ganjarpranowo @aniesbaswedan Bocil main agak jauh dikit ya. Masih ngomong Nusantara ae lambemu
heintje_han,"@DesIndraL1 @aniesbaswedan IBADAH di tanah suci aja, masih ngibul.... Hadeuh 🙈 https://t.co/PibUC8Ikdi"
AdhiZulkarnaen,"@tohir_extrem @AsamDaun @musniumar @ekowboy2 @Mdy_Asmara1701 @tatakujiyati @aniesindo @aniesbaswedan MANTAB, ini br cebong militan, dg nasi lengkuas aj dah bs lari kenceng, cm gak bs belok n nengok (kek babi) maen tabrak.
Setuju gw bong.. klo ini, org kutub kan bong,? https://t.co/jxjk5r3bFu"
fear37030,"@ch_chotimah2 Duh ini orang ga pernah ngaca, sa'ban hari hina Anies Baswedan"
Revin_Ravenza,@ImamNganuu @islah_bahrawi @ganjarpranowo @aniesbaswedan Lo asik gan
JohnTia87843206,Dengerin ni NIS 😂. @aniesbaswedan CC @RagilSemar @Restty_cayah @marlina_idha @Mdy_Asmara1701 @musniumar @Tan_Mar3M @ekowboy2
MuhamadHaf10892,"@nulbesars @Nurmantyo_Gatot @aniesbaswedan Kapan Pak DR.ANIES ROSIED  BASWEDAN,mengumumkan nya,kalau wakilnya Bapak Jendral GATOT NURMA TIYO ?"
AntonSa2013,"@DokterTifa @jokowi @aniesbaswedan Nanya masalahnya ?

Jawabnya Tukang Ngibul …. Jadi ga pantes."
MansyurPardan,"Pengakuan Ketum Parpol...!! Kalau Dukung Anies Baswedan, Kami Akan Hilan... https://t.co/YGuZVfMpOI via @YouTube begitu takutnya kepada Anies segala cara keji dilakukan rejim?"
embie056736821,"Jangan pada cemburu yaa... 
Melihat orang yang tak disukai dikasihi sesama manusia memang sering menimbulkan kecemburuan
Wajar..
Manusiawi sih...
Kasihan kamu 😊

No worries, sama sama dapat kasih.. cuma beda di akhiran i sama an aja sih 
Antara @aniesbaswedan dan para pencemburu"
0512Vip,"@NasDem @aniesbaswedan @ganjarpranowo P @ganjarpranowo sekeluarga lagi duduk santai dimeja makan,,"
irasetiawan1970,@Official_MNCTV @RCTIPlus Saya kenal dgn Pak Rtnya. Salah satu Tim sukses Anies Baswedan.
ridhomuttaqin03,"@amir_fariki @aniesbaswedan @PDI_Perjuangan Sesungguhnya mereka sudah bisa ditebak siapa sesungguhnya.....""alam akherat adalah khayalan belaka""..."
CyrelManusama,@SahabatCel @DokterTifa @jokowi @aniesbaswedan Beliau banyak memiliki kelebihan bayar..
jandakembang78,"@tanyarlfes Kalo 500 RB/ bulannya gw liat sendiri misalkan bokap banting tulang angkat2 sak semen atau maculin sawah org, sampe kiamat ga bakal gw gunain itu duit keringet bokap."
AndreGa78981078,"@DokterTifa @jokowi @aniesbaswedan Bunda Dokter yg pintar cerdas tahu, Dukung jokowi Jadi RI 1,dikasih jabatan menteri diduga Korupsi tidak punya prestasi ya dipecat ,Jadi gubernur yg akan menghancurkan NKRI dg julan ayat mayat agama Umat,jadi Cpres pembohong pakai politik indentitas antitesa Jokowi ada yg salah,"
Rld_70,@DokterTifa @jokowi @aniesbaswedan BUKAN URUSAN MU..URUS AJA DIRI MU
BangAdiOz,"#TetapAnies
#Anies 
#AniesBaswedan 
#AniesPresiden2024 https://t.co/pgvHrQIMzm"
budhisjam,@Mdy_Asmara1701 Setuju… jadi kasihan Pak @aniesbaswedan yang “dijegal” pendukungnya sendiri gara2 keteledoran pendukungnya…
arya_dhena,@CahAngo45022699 @Faqar_77 @Mdy_Asmara1701 @abwnews_ @aniesbaswedan @NasDem @PDemokrat @jokowi @ganjarpranowo @mohmahfudmd @SBYudhoyono
karnatjahyana,"@Yattie2023 @santo91192 @baiki95 @DokterTifa @jokowi @aniesbaswedan Betul. 

Juga, cuma ikut2an, tanpa pernah mengecek dulu kebenarannya."
KeadilanPerindu,@DokterTifa @jokowi @aniesbaswedan Bantu jawab mungkin pa anies tau ijazah palsu jadi takut
ResmawanBaits,@Muhammadsofial1 @yukitawor @aniesbaswedan @basuki_btp 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 @yukitawor yg katanya suka mampir...monggo nonton video dmari...🤣🤣🤣🤣🤣🤣🤣
sarah_enjeuLL,"@Ch1ke1 @Brebestone2 @aniesbaswedan Hahahahaha goblok kok lu borongJing

Maka nya tabayunJing biar otak mu ga gagal paham😄😋"
MuhammadAb70437,@03__nakula Apakah JIS itu proyek gagal dari gubernur sebelum Anies Baswedan. Kalau iya berterima kasih lah sama Anies Baswedan
LantaiAtas09,@NasDem @aniesbaswedan @ganjarpranowo Adem liat Pak Anies ngalah foto berdiri karena gak tega yg satu udh lansia dan ubanan ...
SAPAR752,@NasDem @aniesbaswedan @ganjarpranowo Pak Ganjar Pranowo bikin adem
