username,pesan
@TlHamid,Anies itu paket kumpli pak..jago pidato juga jago kerja hanya orang yg buta hatinya saja yg tdk bisa melihat kemampuan Anies
@poodiejeje,Anies sukses dalam mengurangi kemacetan di ibu kota melalui pengembangan transportasi massal
@Abeng1204,Sebarkan. Biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya 
@faz_hrp,"Hahaha, Ini Akun Kalo Ada yg negative tentang Pak Anies, Cepat nya bukan Maen. Yg bikin aneh, Setelah si Arya dan Tukang Rumput kalah debat dan kalah malu, Tiba tiba Muncul Judul ini"
@neckleot,Pak Anies peduli dengan kondisi sosial masyarakat Jakarta
@coozixl,Pak Anies peduli dengan pendidikan anak anak di Indonesia
@carboxcarbo,Pak Anies ahli dalam memberikan memotivasi
@vergrld,Anies sukses mensejahterakan para rakyatnya ya
@rif_lw,"Yang bikin rame tuh pendukungnya anies. Setiap ada event bola inter mesti jis di sangkutin, bilang gabakal dipake karena kedok politik.  giliran di telusuri banyak yang ga standar,  eh nyalahin politik lagi.  Kocak terus pemerintah kudu piee"
@NuelMend,"Buzzer Anies pada diam,tdk mau lg menyinggung setelah terbongkar malah buzzer-buzzer Anies mulai menggiring opini lain untuk pengalihan isu,semoga rakyat yg mendukung Anies selama ini terbuka mata bahwa Anies capres pembohong,penipu."
@saya_rya,"Dari sekarang aja udah keliatan curang dan culas nya mereka, gpp teruskan aja, Tuhan ga tidur, shalawat asyghil sedang bekerja, insyaallah Pak Anies Presiden 2024"
@HelmiFelis_,"Kok JIS tiba-tiba dipermasalahkan?

Apakah karena JIS tidak standart FIFA? Bukan

JIS bukan standart FIFA? Ya, JIS standart elektabilitas

Makanya rezim puyeng mau hapus jejak Anies di JIS 

Kita tonton saja kebodohan mereka dengan bangun narasi renovasi atau apapun itu 

."
@bachrum_achmadi,"Campakkan itu hsl survei berbayar. Kita belajar dr Pilkada DKI Jkrt sdh ckp sbgai fakta. Mknya mrk sngt kuatir Anies maju pilpres.

Dulu muncung para surveyor itu berlomba2 jagokan Ahok-Djarot. Bgitu Ahok-Djarot keok mrk ngeles macam2. 

Telek kebolah sama klen! "
@Budionotaslim3,"Klo itu benar,Insya Alloh pak Anies 2024 menjadi Presiden prasasti yg ditanda tangani orang lain lebih baik dicopot,rakyat Indonesia bahkan dunia tahu siapa yg membangun JIS"
@coozixl,Pak Anies ahli dalam berkomunikasi
@mohamme72844721,"Santai saja.
Masalahnya bukan itu.
JIS itu jauh lebih baik daripada GBK dan GBT.apalagi Manahan Solo dan Pakansari.
Masalahnya hanya satu,kenapa JIS yang mau di renovasi????
Stadion lain yang jelek2 kan buuuanyak.
Apa kalau bukan ada unsur politisasi melawan Anies Baswedan?."
@JabbarPutu,"JIS itu bukan legacy anies semata, TAPI BUKTI BAHWA JANJI ITU HARUS DILUNASI"
@iyo_azza,"Mereka penguasa seperti makan buah simalakama, tidak dipake tapi itu stadion paling megah di ibukota, dipake gengsi karena pak Anies yang buat, "
@fenjuls,Kebijakan Anies sukses dalam mendukung pendidikan gratis di Jakarta
